GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
37129,New Hanover County,North Carolina,2000,160307,13.05,35.31,631,40172,135600,29,78.88,16.84,2.04,0.36,0.83,0.05,0.87,0.12,0,,,,,
37129,New Hanover County,North Carolina,2001,160307,13.05,35.31,631,40172,135600,29,78.88,16.84,2.04,0.36,0.83,0.05,0.87,0.12,0,,,,,
37129,New Hanover County,North Carolina,2002,160307,13.05,35.31,631,40172,135600,29,78.88,16.84,2.04,0.36,0.83,0.05,0.87,0.12,0,,,,,
37129,New Hanover County,North Carolina,2003,160307,13.05,35.31,631,40172,135600,29,78.88,16.84,2.04,0.36,0.83,0.05,0.87,0.12,0,,,,,
37129,New Hanover County,North Carolina,2004,160307,13.05,35.31,631,40172,135600,29,78.88,16.84,2.04,0.36,0.83,0.05,0.87,0.12,0,1288,3864,4.55,13.66,3.52
37129,New Hanover County,North Carolina,2005,189463,8.9,38.53,820,47644,218300,32.8,78.34,15.46,3.25,0.34,1.16,0.02,1.14,0.29,0,1037,4312,3.53,14.69,2.84
37129,New Hanover County,North Carolina,2006,189463,8.9,38.53,820,47644,218300,32.8,78.34,15.46,3.25,0.34,1.16,0.02,1.14,0.29,0,969,4029,3.19,13.25,2.65
37129,New Hanover County,North Carolina,2007,189463,8.9,38.53,820,47644,218300,32.8,78.34,15.46,3.25,0.34,1.16,0.02,1.14,0.29,0,1764,4276,5.61,13.59,4.83
37129,New Hanover County,North Carolina,2008,189463,8.9,38.53,820,47644,218300,32.8,78.34,15.46,3.25,0.34,1.16,0.02,1.14,0.29,0,1892,4167,5.82,12.82,5.17
37129,New Hanover County,North Carolina,2009,189463,8.9,38.53,820,47644,218300,32.8,78.34,15.46,3.25,0.34,1.16,0.02,1.14,0.29,0,1915,3782,5.71,11.27,5.25
37129,New Hanover County,North Carolina,2010,202667,9.95,40.23,889,50420,222000,32.4,76.79,14.54,5.29,0.39,1.17,0.05,1.58,0.17,0,1727,3716,4.99,10.73,4.73
37129,New Hanover County,North Carolina,2011,213091,11.39,42.72,907,50088,214300,32.1,76.74,14.27,5.38,0.38,1.36,0.04,1.69,0.14,0,1219,3588,3.43,10.09,3.34
37129,New Hanover County,North Carolina,2012,213091,11.39,42.72,907,50088,214300,32.1,76.74,14.27,5.38,0.38,1.36,0.04,1.69,0.14,0,1244,3278,3.41,8.98,3.4
37129,New Hanover County,North Carolina,2013,213091,11.39,42.72,907,50088,214300,32.1,76.74,14.27,5.38,0.38,1.36,0.04,1.69,0.14,0,1436,3450,3.83,9.21,3.93
37129,New Hanover County,North Carolina,2014,213091,11.39,42.72,907,50088,214300,32.1,76.74,14.27,5.38,0.38,1.36,0.04,1.69,0.14,0,1474,3402,3.84,8.86,4.04
37129,New Hanover County,North Carolina,2015,213091,11.39,42.72,907,50088,214300,32.1,76.74,14.27,5.38,0.38,1.36,0.04,1.69,0.14,0,1405,3100,3.57,7.88,3.85
37129,New Hanover County,North Carolina,2016,213091,11.39,42.72,907,50088,214300,32.1,76.74,14.27,5.38,0.38,1.36,0.04,1.69,0.14,0,1483,2979,3.68,7.39,4.05